sadness,When my parents got divorced.
shame,When I was dismissed from a job after having been accused of theft.
anger,A murder.
disgust,When I see people who have no sentiments.
fear,When I go out alone at night.
guilt,When I triffled with other people.
joy,When I passed an exam which I had failed last year.
sadness,When I failed two subjects last year.
shame,"I think that I am rather shy and do not mix with people as I would have liked to, out of shyness."
anger,"During an argument between friends, one of them accused me of taking advantage of some other friends who usually come to the university in my car, saying that I ask them too much money for the petrol."
disgust,A young man was insulting and humiliating a drunken man.
fear,Every time I went home with my school report.
guilt,"I was with a girl one night and then did not call her again, although she had asked me to do so."
joy,When I was told that I could take a week off and go for a trip with my friends.
sadness,When I learned that two of my friends had had a serious car accident.
shame,My aunt phoned me to ask me why I had refused the her invitation to dinner at her home on the New Year's Eve.
anger,My cousins were playing at home and one of them broke a decorative object which was very precious to me.
disgust,When I saw a film where a black was rapeing a girl while another one was filming it for a pornographic movie.
fear,"On a trip to Santander we wanted to stop at a curve because a friend was sick, and the car skidded of the gravel."
guilt,I was looking after a child and she fell down because I was not paying her much attention.  One side of her face got bruised.
joy,When I saw that I had passed an exam.  It was the last chance and there was a lot at stake.
sadness,All my friends arranged to go for an afternoon snack and they did not tell me.  They told me that they did not have my phone number but I do not think that this was true.
shame,I was swimming in the sea and a wave took the top part of my bikini away.
anger,"During a family discussion on my future and my prospects as a student, they accused me of not bothering about looking for a job to assume my financial situation."
disgust,"Some people whom I do not like at all, and one of the reasons is their physical appearance."
fear,"Fights that I see in the middle of the street, robberies, fear of darkness when going home."
guilt,Some of my friends had an argument.  I had earlier phoned one of them and that may have influenced him to argue.
joy,"When I pass exams, or when a close friend of mine recovered from an illness,etc."
shame,"For example, to feel bad because of one's attire, to be among people who do not belong to the same social class, to give a wrong answer in class, to be surprised in particular situations."
anger,An argument among several friends because of the irrational behavior of one of them who fell out with us for no reason and said that we were to blame.
disgust,Pictures of Nazi extermination camps on a T.V program.
fear,There was an earthquake for several minutes and I was on the eight floor.
guilt,I left a boy with whom I was going around without giving him any explanations.
joy,When I met a very close friend of mine after one year of separation.
sadness,"A class-mate died after being two months in coma, after a car accident."
shame,Equivocal situation when filling a security questionnaire on entering a government building with several people there.
anger,When I failed an exam unfairly.
disgust,When I see dead dogs on the road.
fear,When they tried to rob me.
guilt,When my parents quarelled over something I had done and which was wrong.
joy,When my sister was born.
sadness,When my grandmother died.
shame,When I went to see the doctor and had to take my clothes off so that he could examine me.
anger,"When a professor of this faculty laughed at, and was suspicious of a composition written by a class-mate and me."
disgust,When I saw a very disagreable scene.
fear,"When I was attending an authorized demonstrationand the police rushed brutally at the demonstrators, without any warning."
guilt,When I inadvertantly made some close friends and relatives feel bad.
joy,When my little sister was born.
sadness,"The death of a relative, friend, or someone I esteem."
shame,When I had to represent my boss at a meeting.
anger,When I failed an exam I thought I would pass.
disgust,When I saw an accident where the man lost his head.
fear,When they threatened me with a knife to take my money.
guilt,When I hurt a person's feelings.
joy,When I passed an exam.
sadness,When my dog died.
shame,When I tripped while getting on a bus.
anger,When I saw my brother being attacked and I could not do anything.
disgust,When a person saw that I was accused of something I had not done and did not do anything to defend me.
fear,When two drug addicts tried to take away my money.
guilt,When I broke something and a friend of mine was blamed.
joy,"I had not seen my brother for five years as he was not in Spain.   When he arrived at the airport, I felt great joy."
sadness,When a class-mate died.
shame,When inadvertantly I found myself in the ladies room.
anger,"When I saw a man hitting a child of 2 years without any consideration, simply because the child had been leaning against a window."
disgust,When I had to dissect a live mouse at school.
fear,"When I had to walk over three kms through a field which had wild bulls, because my car had broken down."
guilt,"When I saw a program on Ethiopia on T.V, a fews hours earlier I had thrown away some clothes and food."
joy,I got my driving licence after they had frightened me with it's difficulty.
sadness,A friend of mine who was driving a car ahead of me died in a car accident.
shame,When I was a child I had to recite a poem in a show at the end of the term.
anger,"When I was young, I became very angry as I was not allowed to stay up all night for the fair in my town."
disgust,When I saw several people washing their car with water from a drain.
fear,We were in the country and I walked away from the others one night.  Suddenly something moved sharply in front of me and I was not able to see what it was.
guilt,I was entrusted with an object and while using it I handled it carelessly and it broke.
joy,When I saw that the mark I had obtained in an exam was a good one.
sadness,When summer is over and I have to leave the town where I spend my holidays.
shame,When I inadvertantly entered the ladies room and met some girls on my way out.
anger,I had an exam and I had it well prepared.  I did the first part very well but did not know the second part.
disgust,"One day I was going through the street door of my house, when a man asked me for a doctor.  He then showed me his genitals and asked me to cure him myself."
fear,"One night, walking along a park, I began to think that some roughnecks would appear suddenly with knives and things like that."
guilt,I had an argument with my boyfriend.  It was my fault but my pride would not let me admit it.
joy,"When I learned, after the ecography, that my mother was expecting a baby girl.  That was what I wanted."
sadness,When my parents did not let me go on a study tour.
shame,Each time the professor asks me a question in class.
anger,When males in my family try to assign house duties exclusively with referance to sex.
disgust,"When after a storm in the country, I left my shelter and saw a big, fat, slimy green toad by my side."
fear,A film on zombies.
guilt,When my brother had to spend all evening repairing a gear-lever that I had broken.
joy,An invitation to spend 5 days at the seaside with all expenses paid.
sadness,I had a quarrell with my boyfriend and decided to finish with him and and my Easter holidays.
